symbol,name,market,industry,yahoo_symbol
5225,東科-KY,TWSE,31,5225.TW
5227,立凱-KY,TPEx,28,5227.TWO
5228,鈺鎧,TPEx,28,5228.TWO
5230,雷笛克光學,TPEx,26,5230.TWO
5234,達興材料,TWSE,26,5234.TW
5236,凌陽創新,TPEx,24,5236.TWO
5243,乙盛-KY,TWSE,26,5243.TW
5244,弘凱,TWSE,26,5244.TW
5245,智晶,TPEx,26,5245.TWO
5251,天鉞電,TPEx,26,5251.TWO
5258,虹堡,TWSE,25,5258.TW
5263,智崴,TPEx,32,5263.TWO
5269,祥碩,TWSE,24,5269.TW
5272,笙科,TPEx,24,5272.TWO
5274,信驊,TPEx,24,5274.TWO
5276,達輝-KY,TPEx,20,5276.TWO
5278,尚凡*,TPEx,36,5278.TWO
5283,禾聯碩,TWSE,06,5283.TW
5284,jpp-KY,TWSE,20,5284.TW
5285,界霖,TWSE,24,5285.TW
5287,數字,TPEx,36,5287.TWO
5288,豐祥-KY,TWSE,05,5288.TW
5289,宜鼎,TPEx,25,5289.TWO
5291,邑昇,TPEx,28,5291.TWO
5292,華懋,TWSE,35,5292.TW
5299,杰力,TPEx,24,5299.TWO
5301,寶得利,TPEx,16,5301.TWO
5302,太欣,TPEx,24,5302.TWO
5306,桂盟,TWSE,37,5306.TW
5309,系統電,TPEx,28,5309.TWO
5310,天剛,TPEx,30,5310.TWO
5312,寶島科,TPEx,22,5312.TWO
5314,世紀*,TPEx,20,5314.TWO
5315,光聯,TPEx,26,5315.TWO
5321,美而快,TPEx,36,5321.TWO
5324,士開,TPEx,14,5324.TWO
5328,華容,TPEx,28,5328.TWO
5340,建榮,TPEx,28,5340.TWO
5344,立衛,TPEx,24,5344.TWO
5345,馥鴻,TPEx,20,5345.TWO
5347,世界,TPEx,24,5347.TWO
5348,正能量智能,TPEx,37,5348.TWO
5351,鈺創,TPEx,24,5351.TWO
5353,台林,TPEx,27,5353.TWO
5355,佳總,TPEx,28,5355.TWO
5356,協益,TPEx,25,5356.TWO
5364,力麗店,TPEx,16,5364.TWO
5371,中光電,TPEx,26,5371.TWO
5381,光譜,TPEx,28,5381.TWO
5386,青雲,TPEx,25,5386.TWO
5388,中磊,TWSE,27,5388.TW
5392,能率,TPEx,26,5392.TWO
5398,慕康生醫,TPEx,20,5398.TWO
5403,中菲,TPEx,30,5403.TWO
5410,國眾,TPEx,30,5410.TWO
5425,台半,TPEx,24,5425.TWO
5426,振發,TPEx,25,5426.TWO
5432,新門,TPEx,35,5432.TWO
5434,崇越,TWSE,29,5434.TW
5438,東友,TPEx,25,5438.TWO
5439,高技,TPEx,28,5439.TWO
5443,均豪,TPEx,24,5443.TWO
5450,南良,TPEx,20,5450.TWO
5452,佶優,TPEx,31,5452.TWO
5455,昇益,TPEx,14,5455.TWO
5457,宣德,TPEx,28,5457.TWO
5460,同協,TPEx,28,5460.TWO
5464,霖宏,TPEx,28,5464.TWO
5465,富驊,TPEx,25,5465.TWO
5468,凱鈺,TPEx,24,5468.TWO
5469,瀚宇博,TWSE,28,5469.TW
5471,松翰,TWSE,24,5471.TW
5474,聰泰,TPEx,25,5474.TWO
5475,德宏,TPEx,28,5475.TWO
5478,智冠,TPEx,32,5478.TWO
5481,新華,TPEx,20,5481.TWO
5483,中美晶,TPEx,24,5483.TWO
5484,慧友,TWSE,26,5484.TW
5487,通泰,TPEx,24,5487.TWO
5488,松普,TPEx,28,5488.TWO
5489,彩富,TPEx,31,5489.TWO
5490,同亨,TPEx,25,5490.TWO
5493,三聯,TPEx,31,5493.TWO
5498,凱崴,TPEx,28,5498.TWO
5508,永信建,TPEx,14,5508.TWO
5511,德昌,TPEx,14,5511.TWO
5512,力麒,TPEx,14,5512.TWO
5514,三豐,TPEx,14,5514.TWO
5515,建國,TWSE,14,5515.TW
5516,雙喜,TPEx,14,5516.TWO
5519,隆大,TWSE,14,5519.TW
5520,力泰,TPEx,14,5520.TWO
5521,工信,TWSE,14,5521.TW
5522,遠雄,TWSE,14,5522.TW
5523,豐謙,TPEx,14,5523.TWO
5525,順天,TWSE,14,5525.TW
5529,鉅陞,TPEx,14,5529.TWO
5530,龍巖,TPEx,20,5530.TWO
5531,鄉林,TWSE,14,5531.TW
5533,皇鼎,TWSE,14,5533.TW
5534,長虹,TWSE,14,5534.TW
5536,聖暉*,TPEx,31,5536.TWO
5538,東明-KY,TWSE,10,5538.TW
5543,桓鼎-KY,TPEx,14,5543.TWO
5546,永固-KY,TWSE,14,5546.TW
5547,久舜,TPEx,14,5547.TWO
5548,安倉,TPEx,14,5548.TWO
5601,台聯櫃,TPEx,15,5601.TWO
5603,陸海,TPEx,15,5603.TWO
5604,中連,TPEx,20,5604.TWO
5607,遠雄港,TWSE,15,5607.TW
5608,四維航,TWSE,15,5608.TW
5609,中菲行,TPEx,15,5609.TWO
5701,劍湖山,TPEx,16,5701.TWO
5703,亞都麗緻,TPEx,16,5703.TWO
5704,老爺知,TPEx,16,5704.TWO
5706,鳳凰,TWSE,16,5706.TW
5864,致和證,TPEx,17,5864.TWO
5871,中租-KY,TWSE,20,5871.TW
5876,上海商銀,TWSE,17,5876.TW
5878,台名,TPEx,17,5878.TWO
5880,合庫金,TWSE,17,5880.TW
5902,德記,TPEx,38,5902.TWO
5903,全家,TPEx,38,5903.TWO
5904,寶雅,TPEx,38,5904.TWO
5905,南仁湖,TPEx,16,5905.TWO
5906,台南-KY,TWSE,18,5906.TW
5907,大洋-KY,TWSE,18,5907.TW
6005,群益證,TWSE,17,6005.TW
6015,宏遠證,TPEx,17,6015.TWO
6016,康和證,TPEx,17,6016.TWO
6020,大展證,TPEx,17,6020.TWO
6021,美好證,TPEx,17,6021.TWO
6023,元大期貨,TPEx,17,6023.TWO
6024,群益期,TWSE,17,6024.TW
6026,福邦證,TPEx,17,6026.TWO
6028,公勝保經,TPEx,17,6028.TWO
6101,寬魚國際,TPEx,32,6101.TWO
6103,合邦,TPEx,24,6103.TWO
6104,創惟,TPEx,24,6104.TWO
6108,競國,TWSE,28,6108.TW
6109,亞元,TPEx,27,6109.TWO
6111,光聚晶電,TPEx,32,6111.TWO
6112,邁達特,TWSE,30,6112.TW
6113,亞矽,TPEx,29,6113.TWO
6114,久威,TPEx,28,6114.TWO
6115,鎰勝,TWSE,28,6115.TW
6116,彩晶,TWSE,26,6116.TW
6117,迎廣,TWSE,25,6117.TW
6118,建達,TPEx,29,6118.TWO
6120,達運,TWSE,26,6120.TW
6121,新普,TPEx,25,6121.TWO
6122,擎邦,TPEx,05,6122.TWO
6123,上奇,TPEx,30,6123.TWO
6124,業強,TPEx,28,6124.TWO
